Name,City,Region,Description,Phone,Email,Sort,Link,Military
Київський національний лінгвістичний університет,Київ,Київська,"Київський національний лінгвістичний університет (КНЛУ) – вищий
навчальний заклад України. Засновано 30 березня 1948 року як Київський державний педагогічний інститут іноземних мов. Розташований у Києві, Печерський район. Має статус автономного навчального закладу. У просторіччі  «ін'яз».",044) 287-33-72,knlu@knlu.edu.ua,Державна,http://www.knlu.edu.ua,
Київський національний університет будівництва і архітектури,Київ,Київська,"Провідний вищий навчальний заклад України в галузі підготовки фахівців з будівельних спеціальностей. Має найвищий IV рівень акредитації. Авторитет Університету ґрунтується на вдалому поєднанні багатьох традицій, що складалися впродовж майже 90-літнього навчального досвіду і здобуткам вчених університету.
Київський Національний Університет Будівництва і Архітектури заснований 17 квітня 1930 року. Тоді він носив назву Київського будівельного інституту. Його створили на базі Київського архітектурного та художнього інститутів, кафедри будівельних наук КПІ і Київського будівельного технікуму.",38 (044) 248-49-05; 248-49-01,knuba@knuba.edu.ua,Державна,http://www.knuba.edu.ua,
Київський національний університет імені Тараса Шевченка,Київ,Київська,"Київський національний університет імені Тараса Шевченка сьогодні – це класичний університет дослідницького типу, провідний сучасний науково-навчальний центр України. Високий статус класичного університету дослідницького типу підтверджується чисельними науковими перемогами вчених-співробітників університету, досягнення яких відзначені державними і міжнародними нагородами.
Університет засновано в 1834 році.
До складу Університету входять: геологічний і зоологічний музеї, Музей історії університету, міжфакультетський лінгвістичний музей, Ботанічний сад імені академіка О.В. Фоміна, Канівський природний заповідник, Астрономічна обсерваторія, Видавничо-поліграфічний центр ""Київський університет"" і Наукова бібліотека ім. М. Максимовича. Загальний фонд бібліотеки зараз становить 3.270.663 примірників документів.",(044) 239-33-33; 044 521-35-61,abit@knu.ua; office@knu.ua,Державна,https://knu.ua,
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,"Київський національний університет театру, кіно і телебачення імені І. К. Карпенка-Карого – це один з провідних закладів мистецької освіти, історія діяльності якого налічує понад 100 років.
Навчальний заклад є активним учасником загального процесу гуманітарного розвитку суспільства, збереження і примноження духовних цінностей, інтеграції України в європейський і світовий культурний простір.
Університет є багатопрофільним вищим мистецьким навчальним закладом, який здійснює підготовку професійних кадрів за спеціальностями «Сценічне мистецтво» та «Аудіовізуальне мистецтво та виробництво». До його складу входять Інститут екранних мистецтв та факультет театрального мистецтва.
На шістнадцяти кафедрах Університету сьогодні працюють видатні майстри театрального та кіно-телемистецтва, серед яких художні керівники, головні режисери та провідні актори академічних театрів, кіно- і телережисери, академіки і члени-кореспонденти Академії мистецтв України.",(044) 272-10-32,rector@knutkt.edu.ua,Державна,www.knutkt.edu.ua,
Київський національний університет технологій та дизайну,Київ,Київська,"Київський національний університет технологій та дизайну (КНУТД) — це багатопрофільний навчально-науково-інноваційний комплекс із широко розвиненою інфраструктурою і сучасною матеріально-технічною базою, який здійснює багаторівневу підготовку кваліфікованих фахівців різних спеціальностей. Університет  є флагманом у сфері підготовки фахівців для галузей легкої та хімічної промисловості, індустрії моди, бізнесу, художньо-технічного моделювання та дизайну промислових виробів, мистецтва, економіки та побутового сервісу, юриспруденції та ін. Це один із найстаріших в Україні закладів вищої освіти технологічного профілю. Університет має низку унікальних наукових шкіл, які провадять науково-інноваційну діяльність і визнані як в Україні, так і за її межами.
Київський національний університет технологій та дизайну засновано 17 квітня 1930 року наказом Вищої ради народного господарства №1240 як Інститут шкіряної промисловості. Зазначену дату можна вважати точкою відліку історії університету в межах формального підходу, адже дослідження витоків підготовки спеціалістів свідчать, що фактично її слід було б віднести до початку 19 ст., коли розпочалась професійна підготовка ремісників, які виробляли товари із шкіри, хутра, текстилю кустарним і кооперативним способами. Таким чином, ця тема ще чекає на більш ґрунтовні дослідження.",(044) 2800512,knutd@knutd.edu.ua,Державна,knutd.edu.ua,
Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,Кременець,Тернопільська,"Учительський інститут діяв до початку окупації Кременця фашистськими військами. Його роботу було відновлено після звільнення міста: навчальний рік 1 вересня 1944 року розпочали 150 студентів, які навчалися на мовно-літературному, історичному, природничо-географічному і фізико-математичному факультетах. Навчальний процес забезпечували 36–39 викладачів, серед яких лише один мав науковий ступінь.
У 1950 році учительський інститут реорганізовано в педагогічний з тими ж факультетами, лише було відкрито факультет фізичного виховання, але ліквідовано історичний факультет. Зріс контингент студентів до 1000 чоловік на стаціонарному відділенні та до 2000 чоловік – на заочному. Зміцнився науково-кадровий потенціал: на 11 кафедрах працювали 112 викладачів, з яких на початку 60-х років більше 20 мали наукові ступені та вчені звання. Випуск фахівців складав від 90 до 240 чоловік на стаціонарі та від 100 до 360 – на заочній формі навчання. Свідченням потужних можливостей навчально-матеріальної бази інституту була його бібліотека – порядку 250 тисяч книг.
У 1969 році інститут переведено до Тернополя, де на сьогодні він функціонує в статусі Національного педагогічного університету імені Володимира Гнатюка, а в його навчальних корпусах відкрито Кременецьке педагогічне училище, якому в 1989 році було присвоєне ім’я Тараса Шевченка. Педучилище готувало фахівців двох спеціальностей: вчителів праці та креслення (контингент – 120 учнів) та вихователів дошкільних закладів (контингент – 60 учнів). Штат викладачів складав 19 чоловік. На завершення свого існування – в 1990/91 навчальному році – училище збільшило контингент учнів до 2000 чоловік, штат викладачів – до 128, а випуск фахівців складав 540 чоловік на денному відділенні та 160 – на заочному.","03546 2 19 91, 2 44 92",kogpa_docs@ukr.net,Комунальна,kogpa.edu.ua,
Кременчуцький льотний коледж Харківського національного університету внутрішніх справ,Кременчук,Полтавська,"1 липня 2020 року Кременчуцький льотний коледж відзначив свій 60-річний ювілей. Як навчальний заклад його було створено у 1960 році під назвою льотного училища цивільного повітряного флоту. Наказом від 28.11.1991 р. № 231 навчальний заклад було прийнято до системи Міністерства освіти і науки України. З 24.06.1993 р. наказом № 97 цього Міністерства він перейменований під назвою “льотний коледж”. Згідно Розпорядження Кабінету Міністрів України від 13 березня 2019 року № 186-р Кременчуцький льотний коледж передано до сфери управління Міністерства внутрішніх справ України шляхом його приєднання до Харківського національного університету внутрішніх справ як відокремленого структурного підрозділу. Коледж є одним із провідних авіаційних державних вищих навчальних закладів України, а в галузі підготовки вертолітних кадрів йому взагалі немає рівних.
У різні роки в коледжі здобули путівку в небо видатні космонавти О. А. Леонов, П. І. Клімук, В. В. Аксьонов, А. С. Левченко, Герої Радянського Союзу М. М. Мельник, Б. В. Лялин, А. Б. Гардапхадзе. За роки існування в коледжі пройшли підготовку більше 60 тисяч фахівців з країн СНД і близько 7 тисяч громадян з 77 інших країн світу, зокрема Австралії, Австрії, Великобританії, Германії, Ємену, Індії, Канади, Китаю, Мозамбіку, Перу, Польщі, США, Фінляндії, Японії тощо. У коледжі освоєно 14 типів повітряних суден, з яких 12 типів – гелікоптери славетних конструкторських бюро Міля, Камова, а також надлегкий вертоліт українського виробництва АК1-3.
У 2003 році коледж ввійшов до Єдиної навчально-методичної системи Національного авіаційного університету і був його навчально-науковим підрозділом.",+38 (05366) 31131,klk.univd@gmail.com,Державна,http://klk.univd.edu.ua/uk,
Кременчуцький національний університет імені Михайла Остроградського,Кременчук,Полтавська,"За останні роки університет набув широкого визнання у суспільстві та державі. На сьогодні КрНУ посідає третє місце серед ВНЗ України за студентською науковою робою; третє місце серед вишів Полтавської області; 60-те місце у консолідованому рейтингу ВНЗ за даними інтернет-ресурсу OSVITA.UA і 38-те місце у ТОП-200 кращих ВНЗ України. За період з 2011 року Університет отримав багато нагород (Гран-прі «Лідер вищої освіти», Сертифікат «Якість наукових публікацій»; Гран-прі «Лідер міжнародної діяльності»; Гран-прі «Лідер наукової та науково-технічної діяльності»).
Університет поступово набуває визнання у світі, що підтверджують різні світові рейтинги у 2019 роц: QS TOP 250 Universitiesof Emerging Europe & Central Asia(19-темісце); Transparent Ranking of UniversitiesGOOGLE SCHOLAR Citation(75-те місце); WEB of Universities WEBOMETRICS (65-те місце); Global University Ranking uniRank™ (34-те місце);Міжнародний рейтинг ЗВО U-Multirank (18-те місце);Round University Ranking (4-те місце)
У 2019 році Національним агентством із забезпечення якості вищої освіти вперше було здійснено аналіз річних звітів і даних самоаналізу національних ЗВО, під час якого вивчалося виконання університетами обов’язкових порівняльних та преміальних критеріїв. За інтегральним показником порівняльних критеріїв серед 113 національних університетів Кременчуцький національний університет посів 11 місце.",+38(0536) 75-81-86,office@kdu.edu.ua,Державна,www.kdu.edu.ua,
Луцький національний технічний університет,Луцьк,Волинська,"Висококласні фахівці із 7 факультетів та 36 різнопрофільних кафедр готові відкривати молодому поколінню шлях до успіху, постійно вдосконалюватися і гідно представляти українську науку на міжнародній арені. Наші студенти мають нагоду обрати класичну технічну чи економічну спеціальність, а також підсилити свої можливості за допомогою гуманітарних наук, опанувавши іноземну мову й тонкощі юриспруденції.
Ми віримо у власні цінності, а тому будуємо полюс росту та розвитку для кожного!
У нас функціонує центр ділового студента «Volyn Business Hub», який сприяє працевлаштуванню випускників і підвищує їхню конкурентоспроможність на ринку праці.
Ми створили юридичну клініку «Veritas», що надає студентам можливості набуття навичок практичної діяльності за фахом та розширює їхні професійні можливості.
У нас є можливість реалізувати себе у науковій царині і продемонструвати власні знання та вміння не лише на Всеукраїнському рівні, але й далеко за кордоном. Довіряючи компетентності вітчизняних викладачів, студенти можуть паралельно здобути досвід іноземних науковців, долучившись до програми подвійного диплому, а відтак отримати диплом нашого ЗВО та закордонного університету. Так, ми маємо більше 80 партнерів із 25 країн світу.
ЛНТУ пропонує чимало варіантів проходження практики на передових підприємствах області з перспективою подальшого працевлаштування, а також можливість випробувати дуальну освіту, що дозволяє паралельно навчатися і працювати.
","(0332) 74-61-03, 74-61-11",rector@lntu.edu.ua,Державна,https://lntu.edu.ua,
Львівська національна академія мистецтв,Львів,Львівська,"Львівська національна академія мистецтв (ЛНАМ) представляє один з найбільш цікавих напрямів вищої освіти України, а саме — професійну підготовку і виховання творчих особистостей у галузях образотворчого і декоративно-прикладного мистецтва, дизайну, реставрації, культурології, мистецтвознавства та менеджменту мистецтва. Ідея створення у Львові мистецької академії зародилася понад сто років тому, а тому сучасний навчальний заклад є спадкоємцем кращих традицій і надбань художньої освіти, започаткованої у Львові ще в середині 19 ст. Свою історію він веде від Художньо-промислової школи (1876 р.), Вільної академії мистецтв (1905 р.), Мистецької школи Олекси Новаківського (1923 р.), інших навчальних закладів, у системі яких апробувалася академічна освіта. У цих мистецьких закладах навчалися, а згодом і викладали видатні митці, вихованці провідних європейських академій Іван Труш, Осип Курилас, Антон Манастирський, Олена Кульчицька, Григорій Смольський, Святослав Гординський та багато інших.",(032) 276 14 77,office@lnam.edu.ua,Державна,www.lnam.edu.ua,
Львівська національна музична академія імені М.В.Лисенка,Львів,Львівська,"Львівська національна музична академія імені М.В. Лисенка (надалі –  Академія) – один з найстаріших в Європі музичних навчальних закладів.
З 1844 року Академія (під назвою «Інститут музики») стала повноцінно функціонувати у Львові як багатопрофільний музичний навчальний заклад, який очолив син геніального австрійського класика Вольфганга Амадея Моцарта – Франц-Ксавер. Керівниками закладу впродовж багатьох років були видатні музиканти світового рівня, а саме: Йоган Рукгабер, Кароль Мікулі, Мєчислав і Адам Солтиси, Анна Нєментовська, Анатоль Вахнянин, Станіслав Людкевич, Василь Барвінський, Микола Колесса, Зенон Дашак та Марія Крушельницька.  
Зараз очолює Академію – Народний артист України, Академік національної Академії мистецтв України, доктор філософії, професор Ігор Пилатюк. ","(032) 235 82 68, 274 31 06",lnma@lnma.edu.ua,Державна,http://lnma.edu.ua,
Львівський державний університет фізичної культури імені Івана Боберського,Львів,Львівська,"Матеріально-технічна база: 3 гуртожитки, студентська їдальня, 3 навчальні корпуси, комп'ютерні класи, бібліотека, навчально-спортивний комплекс, стадіон з високоякісним футбольним газоном і сучасним покриттям легкоатлетичних бігових доріжок та секторами для стрибків, метань і штовхань, універсальний манеж, спеціалізовані зали для фехтування, боксу і боротьби, відкриті майданчики для спортивних ігор, гімнастичні зали.
Львівський державний університет фізичної культури імені Івана Боберського є провідним ЗВО фізкультурного профілю у Західній Україні з давніми традиціями у підготовці фахівців з фізичної культури і спорту.
З 1998 року ЛДУФК є членом Європейської мережі ЗВО освіти фізкультурного профілю та з 1999 року — членом міжнародної ради фізичного виховання, рекреації та спортивного танцю. Кращі студенти ЛДУФК мають можливість навчатися в ЗВО Євросоюзу. На базі ЛДУФК працюють комплексні наукові групи збірних команд України з різних видів спорту.","032 255 32 01,272 75 61",evgenprystupa@gmail.com,Державна,http://www.ldufk.edu.ua,
"Львівський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",Львів,Львівська,"Львівський інститут ПрАТ «ВНЗ «МАУП» є відокремленим структурним підрозділом Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом» (м. Київ).
Історія становлення Львівського інституту бере початок у 1998 році в рамках співпраці Львівського центру науково-технічної та економічної інформації та Міжрегіональної Академії управління персоналом у м. Києві. Першим результатом такої співпраці стало відкриття на базі ЛвЦНТЕІ навчально-консультаційного центру дистанційного навчання МАУП, в якому отримали другу вищу освіту студенти за спеціальностями: «Фінанси», «Облік і аудит», «Управління трудовими ресурсами».
Львівський інститут ПрАТ «ВНЗ «МАУП» один з найбільших регіональних підрозділів Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом».",(0322) 294 0081,limaup@iapm.edu.ua,Приватна,li-maup.edu.lviv.ua,
Львівський національний медичний університет імені Данила Галицького,Львів,Львівська,"Львівський національний медичний університет імені Данила Галицького – один із провідних медичних університетів, що має давню історію і славні традиції. Підпорядкований Міністерству охорони здоров'я України.
Сьогодні Університет – це: 
студентоорієнтований осередок освіти, із сучасними освітніми програмами, які постійно вдосконалюються та інтегрується до потреб сьогодення; 
власні наукові дослідження та участь у міжнародних наукових проєктах;
широке коло українських та міжнародних партнерів задля створення можливостей якісної підготовки студентів та інших здобувачів освіти.
Історія. Львівський національний медичний університет імені Данила Галицького – найстарший медичний навчальний заклад в Україні.  Він бере свій початок від медичного факультету Львівського університету, утвореного в 1784 році згідно з рескриптом імператора Австрії Йозефа ІІ. ",(032) 275-76-32,office@meduniv.lviv.ua,Державна,http://www.meduniv.lviv.ua,
Миколаївський національний аграрний університет,Миколаїв,Миколаївська,"Утворення університету розпочалося у 1984 році, коли в м. Миколаєві було організовано філію Одеського сільськогосподарського інституту, у зв’язку з великою потребою в фахівцях сільськогосподарського виробництва вищої кваліфікації, а саме: агрономах, зооінженерах, інженерах, економістах. У 1991 році контингент студентів складав 2232 особи, а навчальний процес забезпечували 126 викладачів (сьогодні більш ніж 8000 студентів та 427 викладачів). Тому постало питання про перетворення філії Одеського сільськогосподарського інституту в самостійний заклад вищої освіти й статус інституту було отримано. У 1997 році за рішенням Державної акредитаційної комісії України інституту надано найвищий ІV рівень акредитації, а у 1999 році – статус академії.",+38(0512) 40-91-31,pk@mnau.edu.ua; rector@mnau.edu.ua,Державна,www.mnau.edu.ua,
Мукачівський державний університет,Мукачево,Закарпатська,"Мукачівський державний університет – вищий навчальний заклад, який динамічно розвивається та диверсифікує свою діяльність, ліцензуючи та акредитуючи нові спеціальності. Це багатопрофільний навчальний заклад, провідний центр культури, науки, освіти регіону. Основою сучасної концепції розвитку Університету є підготовка висококваліфікованих фахівців, здатних працювати в умовах ринкової економіки та переходу на інноваційний шлях розвитку. 
Нині університет – це сучасний і потужний навчально-науковий комплекс, який об’єднує 4 факультети, які забезпечують підготовку фахівців за 22 спеціальностями.
До послуг працівників та студентів університету – 4 навчальні корпуси, укомплектована наукова бібліотека (постійно поновлюється та налічує понад 150 тис. документів наукової та методичної літератури), 2 гуртожитки, комп’ютерні класи з сучасними комп’ютерами та виходом до Інтернету, студентська їдальня.","+38 (03131) 2-11-09, 2-23-55",info@msu.edu.ua,Державна,http://www.msu.edu.ua,
Національна академія Державної прикордонної служби України імені Богдана Хмельницького (військова частина 9960),Хмельницький,Хмельницька,"Національну академію засновано 14 грудня 1992 року відповідно до постанови КМУ № 700 як Інститут Прикордонних військ України.
У червні 1993 року відбувся перший випуск офіцерів-прикордонників і проведено набір курсантів на перший курс.
12 квітня 1995 року у зв’язку з необхідністю підготовки офіцерських кадрів оперативно-тактичного рівня на базі Інституту Прикордонних військ України відповідно до постанови Кабінету Міністрів України № 268 створено Академію Прикордонних військ України.
4 серпня 1995 року постановою КМУ № 602 Академії Прикордонних військ України присвоєно ім’я Богдана Хмельницького.
29 квітня 1999 року Академії Прикордонних військ України імені Богдана Хмельницького відповідно до Указу Президента України № 458/99 надано статус Національної.
У вересні 1999 року академію прийнято колективним членом Міжнародної кадрової академії Європейської мережі національних інформаційних центрів з академічного визнання та мобільності Ради Європи.
6 лютого 2002 року академії було вручено Бойовий Прапор частини.
У серпні 2003 року, у зв’язку з реформуванням Прикордонних військ України у Державну прикордонну службу України, було змінено назву навчального закладу на Національну академію Державної прикордонної служби України імені Богдана Хмельницького.
У січні 2019 року академія отримала асоційоване членство в агенції прикордонної та берегової охорони FRONTEX.",(0382) 65-27-09,nadpsu@dpsu.gov.ua,Державна,https://nadpsu.edu.ua/,
"Національний технічний університет ""Харківський політехнічний інститут""",Харків,Харківська,"НТУ «ХПІ» є одним з шести університетів україни, визнаних у світі за рейтингами QS World University Ranking, The World University Rankings. Пропонує понад 130 освітніх програм за 43 спеціальностями. Більше ніж 1000 бюджетних місць на рік, міжнародне співробітництво, студентське самоврядування та стартап-рух, коворкінги, військова підготовка, сучасна бібліотека, палац студентів, 32 види спорту безкоштовно, 15 гуртожитків та база відпочинку в мальовничому містечку.","(057)700-15-64, (057)707-66-01",omsroot@kpi.kharkov.ua,Державна,www.kpi.kharkov.ua,
"Національний університет ""Запорізька політехніка""",Запоріжжя,Запорізька,"Життя кожного колективу починається з першого кроку, здійсненого ініціативними людьми, які вирішили почати нову справу. Для колективу НУ «Запорізька політехніка» таким кроком і початком складної, але яскравої історії університету була організація 1 липня 1900 р. в повітовому місті Олександрівську (з 1921 р. — Запоріжжя) середнього семикласного механіко-технічного училища з нижчою ремісничою школою при ньому. Діяльність цього училища справила значний вплив на становлення та вдосконалення професійної освіти, а згодом сприяла підготовці інженерних кадрів для України.
Олександрівське середнє семикласне механіко-технічне училище готувало техніків-механіків високого класу для промислових підприємств. Механічна, ковальська, токарна, столярна, модельна майстерні, а також відділення двигунів були оснащені новим устаткуванням, зокрема й закордонного виробництва. Цікаво, що клас для малювання оформили за зразком Академії мистецтв. Обладнання для цього завезли з Лейпцига.
18 листопада 1920 р. Олександрівське механіко-технічне училище було реорганізоване у трирічний індустріальний технікум (ОІТ) і дворічну механіко-технічну профшколу. Технікум мав права вищого навчального закладу. Технікум повинен був готувати інженерів-механіків для машинобудування. Він мав два спеціальні відділи: індустріальний (механічний, машинобудівний) та сільськогосподарський (землеробство, машинознавство). Наприкінці 20-х рр. технікум був одним із кращих інженерних навчальних закладів України. Згідно з Постановою РНК УСРР від 23 березня 1930 р., Запорізький індустріальний технікум було перейменовано на машинобудівний інститут ім. В. Я. Чубаря. З липня того ж року, за Наказом Наркомосвіти УРСР та ВРНГ УРСР № 514, його реорганізовано в Запорізький інститут сільськогосподарського машинобудування, що був підпорядкований об'єднанню «Союзсільмаш». Після закінчення інституту студенти отримували кваліфікацію за фахом інженера-механіка. Спочатку діяло чотири відділення: сільськогосподарське, тракторне, оброблення матеріалів, ливарної справи.
У важкі роки війни понад 600 студентів і викладачів вишу пішли на фронт, 52 навчалися в Артилерійській академії ім. Ф. Дзержинського, 30 закінчили прискорений курс Військової академії механізації і моторизації. Понад 300 студентів і викладачів були відзначені за виявлені ними героїзм і мужність на фронтах бойовими орденами і медалями. Понад 50 воїнів не повернулися додому….
У 1941 р. інститут був евакуйований до міста Барнаул Алтайського краю, а згодом на базі інституту створили Алтайський політехнічний інститут. Після визволення Запоріжжя від німецько-фашистських загарбників в 1944 р. був організований Запорізький автомеханічний інститут, який через три роки став Запорізьким інститутом сільськогосподарського машинобудування, а в 1957 р. був перейменований на машинобудівний інститут.","(061)764-21-41, (061)764-25-06",rector@zp.edu.ua,Державна,zp.edu.ua,
"Національний університет ""Одеська морська академія""",Одеса,Одеська,"Національний університет «Одеська морська академія» давно і добре відомий у світовому морському суспільстві. За роки існування з 1944 року заклад освіти мав різні назви: Одеське вище морехідне училище (ОВМУ), Одеське вище інженерне морське училище (ОВІМУ), Одеська державна морська академія (ОДМА), Одеська національна морська академія (ОНМА), Національний університет «Одеська морська академія» (НУОМА).
Протягом усієї історії закладом освіти забезпечувалися високий професіоналізм науково-педагогічного персоналу, відповідні міжнародним і національним вимогам стандарти освіти і практичної підготовки здобувачів освіти.
НУОМА є провідним навчальним, науковим і методичним центром, який визначає стратегію і шляхи розвитку морської освіти в Україні.
Основним завданням університету є забезпечення конкурентоспроможності випускників на світовому ринку праці. НУОМА є активним членом Міжнародної асоціації морських університетів (IAMU), Чорноморської асоціації морських інститутів (BSAMI).
Представники університету регулярно беруть участь у роботі асамблей, комітетів і підкомітетів Міжнародної морської організації (IMO) у складі офіційних делегацій України та Міжнародної асоціації морських університетів.","( 048) 793-16-72, 793-16-94",info@onma.edu.ua,Державна,www.onma.edu.ua,
